Randomizer Version: 4.4.0
Random Seed: 191563861191468
Settings String: 318WRIEEjIAAAMABgCRAAKeBnsECQEAFAACCQAuEgAAAAAABRi45ATkAYYICTIGBAIyAAIQRmlyZSBSZWQgKFUpIDEuMZoolK7jwziK

--Patching for National Dex at Start of Game--
Patch successful!

--Randomized Evolutions--
BULBASAUR       -> NIDORINA       
IVYSAUR         -> SCEPTILE       
CHARMANDER      -> COMBUSKEN      
CHARMELEON      -> RAPIDASH       
SQUIRTLE        -> PELIPPER       
WARTORTLE       -> STARMIE        
CATERPIE        -> CASCOON        
METAPOD         -> PARASECT       
WEEDLE          -> WURMPLE        
KAKUNA          -> ILLUMISE       
PIDGEY          -> SPINDA         
PIDGEOTTO       -> KECLEON        
RATTATA         -> PORYGON        
SPEAROW         -> JUMPLUFF       
EKANS           -> ARIADOS        
PIKACHU         -> ELECTRODE      
SANDSHREW       -> PILOSWINE      
NIDORAN♀        -> BEEDRILL       
NIDORINA        -> SEVIPER        
NIDORAN♂        -> KOFFING        
NIDORINO        -> ROSELIA        
CLEFAIRY        -> TAUROS         
VULPIX          -> BLAZIKEN       
JIGGLYPUFF      -> CASTFORM       
ZUBAT           -> NOCTOWL        
GOLBAT          -> GYARADOS       
ODDISH          -> IVYSAUR        
GLOOM           -> SHIFTRY and VENOMOTH
PARAS           -> WEEPINBELL     
VENONAT         -> WEEZING        
DIGLETT         -> GLIGAR         
MEOWTH          -> FURRET         
PSYDUCK         -> RELICANTH      
MANKEY          -> HITMONCHAN     
GROWLITHE       -> FLAREON        
POLIWAG         -> WAILMER        
POLIWHIRL       -> SEAKING and CLOYSTER
ABRA            -> SPOINK         
KADABRA         -> HYPNO          
MACHOP          -> BRELOOM        
MACHOKE         -> PRIMEAPE       
BELLSPROUT      -> NIDORINO       
WEEPINBELL      -> LUDICOLO       
TENTACOOL       -> MUK            
GEODUDE         -> CORSOLA        
GRAVELER        -> NIDOQUEEN      
PONYTA          -> MAGMAR         
SLOWPOKE        -> MR. MIME and GIRAFARIG
MAGNEMITE       -> AMPHAROS       
DODUO           -> GRANBULL       
SEEL            -> OMASTAR        
GRIMER          -> VILEPLUME      
SHELLDER        -> MILOTIC        
GASTLY          -> ARBOK          
HAUNTER         -> BANETTE        
ONIX            -> CLAYDOL        
DROWZEE         -> JYNX           
KRABBY          -> QUAGSIRE       
VOLTORB         -> MINUN          
EXEGGCUTE       -> SLOWKING       
CUBONE          -> GRAVELER       
KOFFING         -> VICTREEBEL     
RHYHORN         -> AERODACTYL     
CHANSEY         -> URSARING       
HORSEA          -> AZUMARILL      
SEADRA          -> VAPOREON       
GOLDEEN         -> KINGLER        
STARYU          -> SWAMPERT       
SCYTHER         -> CROBAT         
MAGIKARP        -> GOLDUCK        
EEVEE           -> ELECTABUZZ, POLITOED, NINETALES, GARDEVOIR and HOUNDOOM
PORYGON         -> CLEFABLE       
OMANYTE         -> GOREBYSS       
KABUTO          -> SHUCKLE        
DRATINI         -> ALTARIA        
DRAGONAIR       -> KINGDRA        
CHIKORITA       -> GROVYLE        
BAYLEEF         -> TROPIUS        
CYNDAQUIL       -> MAGCARGO       
QUILAVA         -> ARCANINE       
TOTODILE        -> QWILFISH       
CROCONAW        -> TENTACRUEL     
SENTRET         -> CHANSEY        
HOOTHOOT        -> PERSIAN        
LEDYBA          -> MURKROW        
SPINARAK        -> HAUNTER        
CHINCHOU        -> CRAWDAUNT      
PICHU           -> ELECTRIKE      
CLEFFA          -> FARFETCH’D     
IGGLYBUFF       -> PIDGEY         
TOGEPI          -> DUNSPARCE      
NATU            -> FEAROW         
MAREEP          -> VOLTORB        
FLAAFFY         -> JOLTEON        
MARILL          -> CROCONAW       
HOPPIP          -> SWABLU         
SKIPLOOM        -> SUNFLORA       
SUNKERN         -> BAYLEEF        
WOOPER          -> WHISCASH       
PINECO          -> SCYTHER        
SNUBBULL        -> DODRIO         
TEDDIURSA       -> PIDGEOT        
SLUGMA          -> MAGBY          
SWINUB          -> PUPITAR        
REMORAID        -> HUNTAIL        
HOUNDOUR        -> TORKOAL        
PHANPY          -> FLYGON         
TYROGUE         -> MEDICHAM, MACHOKE and HARIYAMA
SMOOCHUM        -> SLOWBRO        
ELEKID          -> MANECTRIC      
MAGBY           -> CAMERUPT       
LARVITAR        -> DUGTRIO        
PUPITAR         -> AGGRON         
TREECKO         -> GLOOM          
GROVYLE         -> EXEGGUTOR      
TORCHIC         -> PONYTA         
COMBUSKEN       -> TYPHLOSION     
MUDKIP          -> WARTORTLE      
MARSHTOMP       -> WALREIN        
POOCHYENA       -> SHARPEDO       
ZIGZAGOON       -> RATICATE       
WURMPLE         -> METAPOD and KAKUNA
SILCOON         -> LEDIAN         
CASCOON         -> BUTTERFREE     
LOTAD           -> PSYDUCK        
LOMBRE          -> SEADRA         
SEEDOT          -> ODDISH         
NUZLEAF         -> TANGELA        
TAILLOW         -> MASQUERAIN     
WINGULL         -> SWELLOW        
RALTS           -> SMOOCHUM       
KIRLIA          -> GRUMPIG        
SURSKIT         -> SEALEO         
SHROOMISH       -> BELLOSSOM      
SLAKOTH         -> ZANGOOSE       
VIGOROTH        -> BLISSEY        
NINCADA         -> DONPHAN and SURSKIT
WHISMUR         -> EEVEE          
LOUDRED         -> VIGOROTH       
MAKUHITA        -> MACHAMP        
AZURILL         -> JIGGLYPUFF     
SKITTY          -> TOGETIC        
ARON            -> FORRETRESS     
LAIRON          -> RHYDON         
MEDITITE        -> WOBBUFFET      
ELECTRIKE       -> LANTURN        
GULPIN          -> GENGAR         
CARVANHA        -> ABSOL          
WAILMER         -> LAPRAS         
NUMEL           -> SANDSLASH      
SPOINK          -> LUNATONE       
TRAPINCH        -> RHYHORN        
VIBRAVA         -> STEELIX        
CACNEA          -> CRADILY        
SWABLU          -> KANGASKHAN     
BARBOACH        -> OCTILLERY      
CORPHISH        -> KABUTOPS       
BALTOY          -> NIDOKING       
LILEEP          -> VENUSAUR       
ANORITH         -> HERACROSS      
FEEBAS          -> FERALIGATR     
SHUPPET         -> SABLEYE        
DUSKULL         -> MISDREAVUS     
WYNAUT          -> KADABRA        
SNORUNT         -> SNEASEL        
SPHEAL          -> POLIWHIRL      
SEALEO          -> WAILORD        
CLAMPERL        -> DEWGONG and POLIWRATH
BAGON           -> VIBRAVA        
SHELGON         -> DRAGONITE      
BELDUM          -> SOLROCK        
METANG          -> ESPEON         

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1    |ABILITY2    |ITEM
  1|BULBASAUR    |GRASS/POISON     |  38|  48|  31|  80|  88|  33|WATER VEIL  |IMMUNITY    |TM24 (common)
  2|IVYSAUR      |GRASS/POISON     |  53|  79| 109|  41| 111|  13|DRIZZLE     |SHIELD DUST |TINYMUSHROOM (common), SUPER REPEL (rare)
  3|VENUSAUR     |GRASS/POISON     |  61| 170|  81|  26|  21| 166|SERENE GRACE|-------     |
  4|CHARMANDER   |FIRE             |  68|  95|  19|  35|  21|  71|PRESSURE    |STATIC      |
  5|CHARMELEON   |FIRE             |  92| 102|  27|  52|  36|  97|CHLOROPHYLL |EFFECT SPORE|NEVERMELTICE (common), FLUFFY TAIL (rare)
  6|CHARIZARD    |FIRE/FLYING      |  61|  99|  61|  77| 115| 121|COLOR CHANGE|-------     |PECHA BERRY (100%)
  7|SQUIRTLE     |WATER            |  85|  51|  17|  39|  49|  74|STURDY      |-------     |TM24 (common), TM38 (rare)
  8|WARTORTLE    |WATER            |  65|  73|  60| 105|  34|  67|PICKUP      |SHIELD DUST |
  9|BLASTOISE    |WATER            |  54|  93| 151|  47|  39| 145|DRIZZLE     |BLAZE       |PARLYZ HEAL (rare)
 10|CATERPIE     |BUG              |  65|  19|  14|  22|  18|  56|TRACE       |LIQUID OOZE |YELLOW SHARD (rare)
 11|METAPOD      |BUG              |  52|  18|  35|  46|  17|  37|LIMBER      |LIQUID OOZE |
 12|BUTTERFREE   |BUG/FLYING       |  57|  33|  80|  88|  81|  47|TRUANT      |POISON POINT|SAFARI BALL (common), BRIGHTPOWDER (rare)
 13|WEEDLE       |BUG/POISON       |  22|  18|  48|  27|  47|  33|SHED SKIN   |STATIC      |
 14|KAKUNA       |BUG/POISON       |  37|  51|  16|  52|  16|  33|STURDY      |SAND VEIL   |
 15|BEEDRILL     |BUG/POISON       |  52|  15|  86|  74|  71|  87|BLAZE       |CUTE CHARM  |
