,Type,Did_Player_Win
0,GROUND,False
1,POISON,False
2,WATER,False
3,NORMAL,False
4,WATER,False
5,NORMAL,False
6,ROCK,True
7,FIRE,False
8,ICE,False
9,GHOST,False
10,WATER,False
11,DARK,False
12,DRAGON,False
13,STEEL,False
14,BUG,False
15,NORMAL,True
16,WATER,False
17,BUG,True
18,FIRE,False
19,FIRE,True
20,GRASS,False
21,WATER,False
22,ELECTRIC,False
23,NORMAL,False
24,ROCK,False
25,DARK,False
26,WATER,False
27,FIRE,True
28,WATER,False
29,FIRE,False
30,WATER,False
31,PSYCHIC,False
32,WATER,False
33,NORMAL,False
34,GRASS,True
35,FIRE,False
36,FIRE,False
37,WATER,False
38,GROUND,False
39,NORMAL,False
40,FIRE,True
41,FIGHTING,False
42,GRASS,False
43,GRASS,False
44,GROUND,False
45,GRASS,False
46,WATER,False
47,FIGHTING,False
48,BUG,False
49,WATER,False
50,FIRE,False
51,FIGHTING,False
52,GRASS,False
53,WATER,False
54,BUG,False
55,BUG,False
56,WATER,False
57,WATER,False
58,GRASS,False
59,NORMAL,False
60,BUG,False
61,GHOST,False
62,ICE,False
63,WATER,True
64,POISON,False
65,WATER,False
66,GROUND,False
67,WATER,False
68,BUG,False
69,FIRE,True
70,WATER,False
71,NORMAL,False
72,NORMAL,False
73,ROCK,False
74,FIRE,False
75,PSYCHIC,True
76,GRASS,False
77,NORMAL,False
78,GROUND,False
79,NORMAL,False
80,FIRE,False
81,WATER,False
82,ICE,False
83,FIGHTING,False
84,WATER,False
85,NORMAL,False
86,NORMAL,True
87,PSYCHIC,False
88,PSYCHIC,True
89,BUG,False
90,GHOST,False
91,PSYCHIC,False
92,NORMAL,False
93,WATER,False
94,PSYCHIC,False
95,FIRE,False
96,FIRE,True
97,BUG,False
98,GRASS,False
99,BUG,True
100,WATER,False
101,BUG,False
102,FIRE,False
103,NORMAL,False
104,STEEL,False
105,WATER,False
106,WATER,False
107,POISON,False
108,DRAGON,False
109,BUG,False
110,GROUND,False
111,DARK,False
112,ROCK,True
113,FIGHTING,False
114,PSYCHIC,False
115,GROUND,False
116,WATER,False
117,GRASS,True
118,BUG,False
119,ICE,True
120,BUG,False
121,BUG,False
122,ROCK,False
123,GRASS,False
124,WATER,False
125,ELECTRIC,False
126,WATER,False
127,GRASS,False
128,BUG,False
129,GROUND,False
130,NORMAL,False
131,WATER,False
132,WATER,True
133,BUG,False
134,WATER,False
135,WATER,False
136,FIGHTING,False
137,ELECTRIC,False
138,GRASS,False
139,BUG,False
140,NORMAL,False
141,FIGHTING,False
142,GRASS,False
143,WATER,False
144,GRASS,True
145,GROUND,False
146,FIRE,False
147,GRASS,False
148,GRASS,False
149,WATER,False
150,WATER,False
151,WATER,False
152,GROUND,False
153,GHOST,False
154,BUG,False
155,NORMAL,False
156,GRASS,False
157,NORMAL,False
158,WATER,False
159,ICE,True
160,PSYCHIC,False
161,WATER,False
162,WATER,False
163,PSYCHIC,False
164,GRASS,False
165,ELECTRIC,False
166,BUG,True
167,NORMAL,False
168,BUG,False
169,WATER,False
170,STEEL,False
171,GRASS,False
172,POISON,False
173,ROCK,True
174,FIRE,False
175,POISON,False
176,GHOST,False
177,ROCK,False
178,POISON,False
179,WATER,True
180,GRASS,False
181,NORMAL,False
182,BUG,False
